,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
348,hyeres,43.12,6.12,16.11,87,5,1.5,1602282984
349,chato,-2.64,31.77,21.41,63,2,0.69,1602283049
350,ouadda,8.08,22.4,19.66,92,77,0.58,1602283050
351,bud,39.45,-86.18,26.0,44,1,2.6,1602283050
352,bereda,43.27,-7.54,17.22,100,20,1.57,1602283050
353,hamilton,39.18,-84.53,25.0,47,1,3.81,1602283050
354,plattsburgh,44.7,-73.45,12.78,50,1,2.1,1602282842
355,ponta delgada,37.73,-25.67,20.0,88,20,1.5,1602283050
356,nome,64.5,-165.41,9.44,63,1,5.1,1602283050
357,marienburg,54.04,19.03,8.89,93,48,1.5,1602283050
358,petropavlovsk-kamchatskiy,53.05,158.65,11.0,60,4,6.0,1602283050
359,camacari,-12.7,-38.32,26.0,83,75,6.7,1602283051
360,kathu,7.92,98.33,26.67,88,75,4.1,1602283051
361,pacific grove,36.62,-121.92,21.11,64,1,4.1,1602283051
362,shimoda,34.67,138.95,18.89,91,100,1.34,1602283051
363,cerchezu,43.82,28.1,16.11,95,40,1.79,1602283051
364,valdepenas,38.76,-3.38,19.44,49,47,0.45,1602283051
365,namibe,-15.2,12.15,19.72,74,97,2.22,1602283051
366,konevo,62.12,39.32,11.23,94,99,3.12,1602283052
367,jibuti,11.5,42.5,28.0,74,1,3.73,1602283052
368,salalah,17.02,54.09,24.0,83,40,1.5,1602283052
369,butembo,0.15,29.28,14.24,100,98,1.34,1602283052
370,cap malheureux,-19.98,57.61,22.22,86,1,1.79,1602283052
371,linares,-35.85,-71.6,15.68,75,0,3.05,1602283052
372,tuy hoa,13.08,109.3,25.34,90,100,1.91,1602283052
373,deputatskiy,69.3,139.9,-8.61,92,22,2.36,1602282983
374,puerto carreno,6.19,-67.49,24.09,88,81,2.44,1602283052
375,winnemucca,40.97,-117.74,27.0,6,1,3.6,1602283053
376,ust-maya,60.42,134.53,0.69,85,43,2.97,1602283053
377,takoradi,4.88,-1.76,24.52,91,58,4.76,1602282786
378,constantine,36.37,6.61,16.0,63,0,0.5,1602283053
379,linguere,15.4,-15.12,30.74,60,60,7.02,1602283053
380,kluang,2.03,103.33,26.0,88,20,3.1,1602283053
381,atambua,-9.11,124.89,25.39,61,96,2.03,1602283053
382,verkhoyansk,67.54,133.38,-4.67,87,36,2.13,1602283053
383,nurpur,29.15,78.42,20.68,56,0,0.43,1602283054
384,karratha,-20.74,116.85,21.41,61,0,4.39,1602282973
385,serenje,-13.23,30.24,18.12,74,73,0.47,1602283054
386,bria,6.54,21.99,20.69,94,32,0.26,1602283054
387,naze,28.37,129.48,25.0,88,75,3.59,1602282890
388,voskresenskoye,56.84,45.43,10.8,45,100,3.68,1602283054
389,urusha,54.05,122.9,2.95,97,99,1.6,1602283054
390,flinders,-34.58,150.86,18.89,48,0,3.13,1602283054
391,leavenworth,39.23,-95.03,27.22,60,0,2.24,1602283054
392,taoudenni,22.68,-3.98,32.57,21,0,5.51,1602283055
393,staropesterevo,54.5,86.41,-0.53,95,100,6.61,1602283055
394,metro,-5.11,105.31,24.28,89,100,1.78,1602283055
395,quelimane,-17.88,36.89,23.0,83,40,2.1,1602283055
396,riyadh,24.69,46.72,22.0,26,0,1.0,1602282857
397,guasdualito,7.24,-70.73,25.42,82,58,0.65,1602283055
398,cochrane,51.18,-114.47,11.67,66,90,3.1,1602282874
399,san cristobal,7.77,-72.22,30.0,58,40,3.6,1602283023
400,kiama,-34.68,150.87,18.89,46,0,5.81,1602283055
401,neuquen,-38.95,-68.06,24.0,27,0,1.0,1602283056
402,kapuskasing,49.42,-82.43,6.0,93,90,5.1,1602283056
403,san quintin,30.48,-115.95,22.48,66,1,7.58,1602283056
404,black river,18.03,-77.85,27.0,83,75,9.8,1602283056
405,brae,60.4,-1.35,5.0,86,54,3.1,1602282983
406,samarai,-10.62,150.67,25.9,81,96,4.56,1602283056
